Year,Country of origin,Country of origin (ISO),Continent of Origin,Least Developed Countries (LDC) - O,Land Locked Developing Countries (LLDC) - O,Small Island Developing States (SIDS) - O,Economic Growth (from prior year) - O,Population - O,GPD LCU (Trillions) - O,% <$1.90 a day - O,% of Famine - O,Maternal Mortality (Deaths) - O,Maternal Mortality per 100k - O ,Suicide Mortality per 100k - O,Life Expectancy (Year) - O ,% Male (Pop) - O ,% Rural Population - O,Death Rate (Crude) per 1k - O ,Birth Rate (Crude) Per 1k- O,Natural Increase (Crude) per 1k - O,% Crop Production to '14-16 - O,Gov Education Budget (% of) - O,Country of asylum,Country of asylum (ISO),Continent of asylum,Least Developed Countries (LDC) - A,Land Locked Developing Countries (LLDC) - A,Small Island Developing States (SIDS) - A,Economic Growth (from prior year) - A,Population - A,GPD LCU (Trillions) - A,% <$1.90 a day - A,% of Famine - A,Maternal Mortality (Deaths) - A,Maternal Mortality per 100k - A,Suicide Mortality per 100k - A,Life Expectancy (Year) - A,% Male (Pop) - A,% Rural Population - A,Death Rate (Crude) per 1k - A,Birth Rate (Crude) Per 1k - A,Natural Increase (Crude) per 1k - A,% Crop Production to '14-16 - A,Gov Education Budget (% of) - A,Continent Move,LDC to LDC,LDC to MDC,MDC to LDC,MDC to MDC,To LDC,To MDC,Economic Growth difference,Population - Difference,GDP LCU (T) Difference,% <$1.90 a day - Difference,% of Famine - Difference,Maternal Mortality (Deaths) - Difference,Maternal Mortality per 100k - Difference,Suicide Mortality per 100k - Difference,Life Expectancy (Year) - Difference,% Male (Pop) - Difference,% Rural Population - Difference,Death Rate (Crude) per 1k - Difference,Birth Rate (Crude) Per 1k - Difference,Natural Increase (Crude) per 1k - Difference,% Crop Production to '14-16 - Difference,Gov Education Budget (% of) - Difference,Distance (KM),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,hst,Others of concern,Total decisions,Decisions Per 100k,Decisions % - O
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Denmark,DNK,Europe,0,0,0,0.04,5339616,1.77,0,0,5,8,15.6,76.59,0.49,0.15,0.11,12.6,12.49,0.92,0.15,Europe to Europe,0,0,0,1,0,1,0.01,1.53,0.03,0,0,8,2.38,1.17,0.94,0.98,2.09,1.29,0.71,0.71,0.74,-0.15,"1,637",12,0,0,,0,0,0,12,0.15,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Finland,FIN,Europe,0,0,0,0.06,5176209,0.18,0,0,3,6,24.3,77.47,0.49,0.18,0.1,11,10.91,1.09,0.12,Europe to Europe,0,0,0,1,0,1,-0.01,1.58,0.3,0,0,10,3.17,0.75,0.93,1,1.75,1.48,0.82,0.81,0.62,-0.12,"1,946",26,0,0,,0,0,0,26,0.32,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,France,FRA,Europe,0,0,0,0.04,60912500,1.84,0,0,73,10,20.2,79.06,0.49,0.24,0.09,13.3,13.21,1.02,0,Europe to Europe,0,0,0,1,0,1,0.01,0.13,0.03,0,0,-60,1.9,0.9,0.91,1,1.29,1.58,0.68,0.67,0.66,0,"1,758",129,0,0,,0,0,0,129,1.58,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,0,0,0,0.04,58892514,1.51,0,0,73,10,8.6,77.74,0.49,0.21,0.1,11.5,11.4,0.99,0.12,Europe to Europe,0,0,0,1,0,1,0.01,0.14,0.04,0,0,-60,1.9,2.12,0.92,1,1.46,1.37,0.78,0.78,0.68,-0.12,"2,015",20,0,0,,0,0,0,20,0.24,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,0,0,0,0.04,58892514,1.51,0,0,73,10,8.6,77.74,0.49,0.21,0.1,11.5,11.4,0.99,0.12,Europe to Europe,0,0,0,1,0,1,0,0.17,2.05,0,0,-67,0.7,1.9,0.96,1,1.22,1.03,0.77,0.77,0.93,-0.03,"2,015",20,0,0,,0,0,0,20,0.2,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Germany,DEU,Europe,0,0,0,0.03,82211508,2.56,0,0,53,7,14.5,77.93,0.49,0.25,0.1,9.3,9.2,1.01,0,Europe to Europe,0,0,0,1,0,1,0.02,0.1,0.02,0,0,-40,2.71,1.26,0.92,1,1.24,1.38,0.97,0.96,0.67,0,"1,319",0,12,0,,0,0,0,12,0.15,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Germany,DEU,Europe,0,0,0,0.03,82211508,2.56,0,0,53,7,14.5,77.93,0.49,0.25,0.1,9.3,9.2,1.01,0,Europe to Europe,0,0,0,1,0,1,0.01,0.12,1.22,0,0,-47,1,1.12,0.96,1,1.04,1.04,0.96,0.96,0.91,0.09,"1,319",0,22,0,,0,0,0,22,0.21,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Ireland,IRL,Europe,0,0,0,0.09,3805174,0.14,0,0,4,7,12.7,76.54,0.5,0.41,0.08,14.4,14.32,0.97,0.14,Europe to Europe,0,0,0,1,0,1,-0.05,2.7,21.76,0,0,2,1,1.28,0.98,0.98,0.64,1.29,0.62,0.61,0.95,-0.05,"2,474",5,0,0,,0,0,0,5,0.05,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Italy,ITA,Europe,0,0,0,0.04,56942108,1.66,0.01,0,19,4,7.5,79.78,0.48,0.33,0.1,9.5,9.4,1.16,0.09,Europe to Europe,0,0,0,1,0,1,0.01,0.14,0.03,-0.01,0,-6,4.75,2.43,0.9,1.01,0.95,1.44,0.95,0.94,0.58,-0.09,895,18,0,0,,0,0,0,18,0.22,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Morocco,MAR,Africa,0,0,0,0.02,28793672,0.46,0.06,0,1200,188,9.9,68.68,0.5,0.47,0.06,22.24,22.17,0.51,0,Europe to Africa,0,0,0,1,0,1,0.03,0.28,0.12,-0.06,0,-1187,0.1,1.84,1.04,0.98,0.67,2.22,0.4,0.4,1.33,0,"2,784",9,0,0,,0,0,0,9,0.11,0
