Year,Country of origin,Country of origin (ISO),Continent of Origin,In EU?,Life Expectancy (Year) - O ,Death Rate (Crude) per 1k - O ,Birth Rate (Crude) Per 1k- O,% Crop Production to '14-16 - A,Country of asylum,Continent of asylum,Population - A,Gov Education Budget (% of) - A,Life Expectancy (Year) - A,% Male (Pop) - Difference,% <$1.90 a day - A,GDP LCU (T) Difference,Distance (KM),Decisions % - O,Decisions Per 100k
2010,Bulgaria,BGR,Europe,1,73.51,0.15,10.2,0.86,Peru,Americas,29027680,0.14,74.41,0.98,0.06,0.22,11753.84987,0,0.07
2010,Czechia,CZE,Europe,1,77.42,0.1,11.2,0.86,Peru,Americas,29027680,0.14,74.41,0.98,0.06,11.13,11753.84987,0,0.05
2010,Bulgaria,BGR,Europe,1,73.51,0.15,10.2,0.79,Sweden,Europe,9378126,0.13,81.45,0.98,0.01,0.02,1884.29048,0,0.49
2010,Bulgaria,BGR,Europe,1,73.51,0.15,10.2,0.96,Switzerland,Europe,7824909,0.15,82.25,0.99,0,0.14,1335.53863,0,0.26
2010,Czechia,CZE,Europe,1,77.42,0.1,11.2,0.96,Switzerland,Europe,7824909,0.15,82.25,1,0,6.88,1335.53863,0,0.11
2010,Bulgaria,BGR,Europe,1,73.51,0.15,10.2,0.89,United States of America,Americas,309327143,0,78.54,0.99,0.01,0.01,7912.007093,0,13.08
2010,Czechia,CZE,Europe,1,77.42,0.1,11.2,0.89,United States of America,Americas,309327143,0,78.54,0.99,0.01,0.26,7912.007093,0,0.41
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,1.12,Austria,Europe,8391643,0.11,80.98,1,0,0.25,817.6732131,0,0.15
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,1.02,Belgium,Europe,11038264,0.12,80.59,0.99,0,0.22,1697.88075,0,0.39
2011,Czechia,CZE,Europe,1,77.87,0.1,10.4,1.02,Belgium,Europe,11038264,0.12,80.59,1,0,10.89,1697.88075,0,0.1
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.81,Canada,Americas,34339328,0.12,81.45,0.98,0,0.05,7370.872821,0,14.7
2011,Czechia,CZE,Europe,1,77.87,0.1,10.4,0.81,Canada,Americas,34339328,0.12,81.45,0.99,0,2.34,7370.872821,0,8.46
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.89,Costa Rica,Americas,4633086,0.23,78.92,0.97,0.02,0,10642.92736,0,0.18
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.94,Czechia,Europe,10496088,0.1,77.87,0.99,0,0.02,1065.247966,0,0.34
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,1.02,Finland,Europe,5388272,0.12,80.47,0.99,0,0.4,1946.016699,0,0.14
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.99,France,Europe,65342789,0,82.11,1.01,0,0.04,1757.706739,0,1.12
2011,Czechia,CZE,Europe,1,77.87,0.1,10.4,0.99,France,Europe,65342789,0,82.11,1.01,0,2.03,1757.706739,0,0.27
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.99,United Kingdom of Great Britain and Northern Ireland,Europe,63258810,0.12,80.95,0.99,0,0.05,2014.51223,0,0.22
2011,Czechia,CZE,Europe,1,77.87,0.1,10.4,0.99,United Kingdom of Great Britain and Northern Ireland,Europe,63258810,0.12,80.95,1,0,2.44,2014.51223,0,0.91
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.91,Germany,Europe,80274983,0.11,80.44,0.99,0,0.03,1318.842173,0,2.75
2011,Czechia,CZE,Europe,1,77.87,0.1,10.4,0.91,Germany,Europe,80274983,0.11,80.44,1,0,1.5,1318.842173,0,1.59
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.97,Ireland,Europe,4580084,0.12,80.75,0.98,0.01,0.45,2474.021957,0,0.31
2011,Czechia,CZE,Europe,1,77.87,0.1,10.4,0.97,Ireland,Europe,4580084,0.12,80.75,0.99,0.01,22.68,2474.021957,0,0.9
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,1.03,Netherlands,Europe,16693074,0.12,81.2,0.98,0,0.13,1744.506693,0,0.07
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.8,Norway,Europe,4953088,0.15,81.3,0.97,0,0.03,2096.33555,0,0.22
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.92,New Zealand,Oceania,4384000,0.16,80.9,0.99,0,0.38,17661.60686,0,0.1
2011,Czechia,CZE,Europe,1,77.87,0.1,10.4,0.92,New Zealand,Oceania,4384000,0.16,80.9,1,0,19.17,17661.60686,0,0.73
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.88,Peru,Americas,29264314,0.14,74.7,0.98,0.05,0.21,11753.84987,0,0.07
2011,Czechia,CZE,Europe,1,77.87,0.1,10.4,0.88,Peru,Americas,29264314,0.14,74.7,0.99,0.05,10.65,11753.84987,0,0.05
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.95,South Africa,Africa,52003759,0.19,58.9,0.99,0,0.02,7626.797457,0,0.07
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.85,Sweden,Europe,9449213,0.13,81.8,0.98,0.01,0.02,1884.29048,0,0.63
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,1.17,Switzerland,Europe,7912398,0.15,82.7,0.99,0,0.14,1335.53863,0,0.64
2011,Czechia,CZE,Europe,1,77.87,0.1,10.4,1.17,Switzerland,Europe,7912398,0.15,82.7,1,0,6.87,1335.53863,0,0.1
2011,Bulgaria,BGR,Europe,1,74.16,0.15,9.6,0.86,United States of America,Americas,311583481,0,78.64,0.99,0.01,0.01,7912.007093,0,12.02
2011,Czechia,CZE,Europe,1,77.87,0.1,10.4,0.86,United States of America,Americas,311583481,0,78.64,0.99,0.01,0.26,7912.007093,0,0.36
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.93,Austria,Europe,8429991,0.11,80.94,1,0.01,0.25,817.6732131,0,0.15
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.91,Belgium,Europe,11106932,0,80.39,0.99,0,0.22,1697.88075,0,0.33
2012,Czechia,CZE,Europe,1,78.08,0.1,10.3,0.91,Belgium,Europe,11106932,0,80.39,1,0,10.73,1697.88075,0,0.09
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.86,Canada,Americas,34714222,0,81.65,0.98,0,0.05,7370.872821,0,13.55
2012,Czechia,CZE,Europe,1,78.08,0.1,10.3,0.86,Canada,Americas,34714222,0,81.65,0.99,0,2.29,7370.872821,0,3.9
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.94,Costa Rica,Americas,4688003,0.24,79.07,0.97,0.02,0,10642.92736,0,0.18
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.8,Czechia,Europe,10510785,0.09,78.08,0.99,0,0.02,1065.247966,0,0.36
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.94,Denmark,Europe,5591572,0.12,80.05,0.98,0,0.04,1637.045717,0,0.07
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.94,Finland,Europe,5413971,0.13,80.63,0.99,0,0.41,1946.016699,0,0.1
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.97,France,Europe,65659814,0,81.97,1,0,0.04,1757.706739,0,1.07
2012,Czechia,CZE,Europe,1,78.08,0.1,10.3,0.97,France,Europe,65659814,0,81.97,1.01,0,2.01,1757.706739,0,0.28
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.86,United Kingdom of Great Britain and Northern Ireland,Europe,63700215,0,80.9,0.99,0,0.05,2014.51223,0,0.23
2012,Czechia,CZE,Europe,1,78.08,0.1,10.3,0.86,United Kingdom of Great Britain and Northern Ireland,Europe,63700215,0,80.9,1,0,2.39,2014.51223,0,0.33
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.95,Germany,Europe,80425823,0.11,80.54,0.99,0,0.03,1318.842173,0,2.81
2012,Czechia,CZE,Europe,1,78.08,0.1,10.3,0.95,Germany,Europe,80425823,0.11,80.54,1,0,1.48,1318.842173,0,1.57
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.84,Ireland,Europe,4599533,0.14,80.85,0.98,0,0.45,2474.021957,0,0.07
2012,Czechia,CZE,Europe,1,78.08,0.1,10.3,0.84,Ireland,Europe,4599533,0.14,80.85,0.99,0,22.52,2474.021957,0,0.43
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.96,Netherlands,Europe,16754962,0.12,81.1,0.98,0,0.13,1744.506693,0,0.07
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.84,Norway,Europe,5018573,0.17,81.45,0.97,0,0.03,2096.33555,0,0.11
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.91,New Zealand,Oceania,4408100,0.18,81.16,0.99,0,0.37,17661.60686,0,0.1
2012,Czechia,CZE,Europe,1,78.08,0.1,10.3,0.91,New Zealand,Oceania,4408100,0.18,81.16,1,0,18.6,17661.60686,0,0.71
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.93,Peru,Americas,29506790,0.14,74.98,0.98,0.05,0.2,11753.84987,0,0.07
2012,Czechia,CZE,Europe,1,78.08,0.1,10.3,0.93,Peru,Americas,29506790,0.14,74.98,0.99,0.05,9.96,11753.84987,0,0.05
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.99,South Africa,Africa,52832659,0.2,60.06,0.99,0,0.02,7626.797457,0,0.07
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,1,Eswatini,Africa,1079285,0,49.86,1.03,0,2.34,7715.548668,0,0.07
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.9,Sweden,Europe,9519374,0.15,81.7,0.98,0.01,0.02,1884.29048,0,0.52
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,1.02,Switzerland,Europe,7996861,0.15,82.7,0.99,0,0.14,1335.53863,0,0.23
2012,Czechia,CZE,Europe,1,78.08,0.1,10.3,1.02,Switzerland,Europe,7996861,0.15,82.7,1,0,6.74,1335.53863,0,0.08
2012,Bulgaria,BGR,Europe,1,74.31,0.15,9.5,0.85,United States of America,Americas,313877662,0,78.74,0.99,0.01,0.01,7912.007093,0,11.06
2012,Czechia,CZE,Europe,1,78.08,0.1,10.3,0.85,United States of America,Americas,313877662,0,78.74,0.99,0.01,0.25,7912.007093,0,0.31
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.93,Austria,Europe,8479823,0.11,81.14,1,0,0.25,817.6732131,0,0.14
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.98,Belgium,Europe,11159407,0.12,80.59,0.99,0,0.21,1697.88075,0,0.29
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,1.07,Canada,Americas,35082954,0,81.75,0.98,0.01,0.04,7370.872821,0,11.71
2013,Czechia,CZE,Europe,1,78.18,0.1,10.2,1.07,Canada,Americas,35082954,0,81.75,0.99,0.01,2.23,7370.872821,0,3.1
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.94,Costa Rica,Americas,4742111,0.23,79.23,0.97,0.02,0,10642.92736,0,0.18
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.91,Czechia,Europe,10514272,0.09,78.18,0.99,0,0.02,1065.247966,0,0.36
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.94,Denmark,Europe,5614932,0.15,80.3,0.98,0,0.04,1637.045717,0,0.07
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.95,France,Europe,65998685,0,82.22,1,0,0.04,1757.706739,0,1.07
2013,Czechia,CZE,Europe,1,78.18,0.1,10.2,0.95,France,Europe,65998685,0,82.22,1.01,0,1.99,1757.706739,0,0.28
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.9,United Kingdom of Great Britain and Northern Ireland,Europe,64128273,0.13,81,0.99,0,0.05,2014.51223,0,0.19
2013,Czechia,CZE,Europe,1,78.18,0.1,10.2,0.9,United Kingdom of Great Britain and Northern Ireland,Europe,64128273,0.13,81,1,0,2.34,2014.51223,0,0.1
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.96,Germany,Europe,80645605,0.11,80.49,0.99,0,0.03,1318.842173,0,1.67
2013,Czechia,CZE,Europe,1,78.18,0.1,10.2,0.96,Germany,Europe,80645605,0.11,80.49,1,0,1.47,1318.842173,0,4.9
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.95,Ireland,Europe,4623816,0.13,80.95,0.98,0.01,0.44,2474.021957,0,0.54
2013,Czechia,CZE,Europe,1,78.18,0.1,10.2,0.95,Ireland,Europe,4623816,0.13,80.95,0.99,0.01,22.22,2474.021957,0,0.97
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.98,Netherlands,Europe,16804432,0.12,81.3,0.98,0,0.13,1744.506693,0,0.07
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.79,Norway,Europe,5079623,0.17,81.75,0.97,0,0.03,2096.33555,0,0.15
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.93,New Zealand,Oceania,4442100,0.17,81.41,0.99,0,0.36,17661.60686,0,0.1
2013,Czechia,CZE,Europe,1,78.18,0.1,10.2,0.93,New Zealand,Oceania,4442100,0.17,81.41,1,0,18.1,17661.60686,0,0.6
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,1.03,South Africa,Africa,53687125,0.19,61.1,0.99,0,0.02,7626.797457,0,0.07
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,1.02,Eswatini,Africa,1086843,0,51.7,1.02,0,2.24,7715.548668,0,0.07
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.89,Sweden,Europe,9600379,0.15,81.96,0.97,0.01,0.02,1884.29048,0,0.45
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.92,Switzerland,Europe,8089346,0.15,82.8,0.99,0,0.13,1335.53863,0,0.29
2013,Czechia,CZE,Europe,1,78.18,0.1,10.2,0.92,Switzerland,Europe,8089346,0.15,82.8,0.99,0,6.61,1335.53863,0,0.08
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,1,Ukraine,Europe,45489648,0.14,71.16,1.05,0,0.03,1021.654473,0,0.07
2013,Bulgaria,BGR,Europe,1,74.86,0.14,9.2,0.93,United States of America,Americas,316059947,0,78.74,0.98,0.01,0,7912.007093,0,10.76
2013,Czechia,CZE,Europe,1,78.18,0.1,10.2,0.93,United States of America,Americas,316059947,0,78.74,0.99,0.01,0.25,7912.007093,0,0.4
2014,Czechia,CZE,Europe,1,78.82,0.1,10.4,0.99,Australia,Oceania,23475686,0.14,82.3,0.99,0.01,2.5,15341.19566,0,0.05
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1.08,Austria,Europe,8546356,0.1,81.49,0.99,0,0.25,817.6732131,0,0.07
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1.09,Belgium,Europe,11209057,0.12,81.29,0.99,0,0.21,1697.88075,0,0.33
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,0.93,Canada,Americas,35437435,0,81.8,0.98,0,0.04,7370.872821,0,9.36
2014,Czechia,CZE,Europe,1,78.82,0.1,10.4,0.93,Canada,Americas,35437435,0,81.8,0.99,0,2.22,7370.872821,0,2.97
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,0.99,Costa Rica,Americas,4795390,0.23,79.4,0.97,0.02,0,10642.92736,0,0.18
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1.04,Czechia,Europe,10525347,0.09,78.82,0.99,0,0.02,1065.247966,0,0.21
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1.07,Finland,Europe,5461512,0.12,81.18,0.99,0,0.41,1946.016699,0,0.07
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1.05,France,Europe,66312067,0,82.72,1,0,0.04,1757.706739,0,1.08
2014,Czechia,CZE,Europe,1,78.82,0.1,10.4,1.05,France,Europe,66312067,0,82.72,1.01,0,2.02,1757.706739,0,0.29
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1.04,United Kingdom of Great Britain and Northern Ireland,Europe,64602298,0.13,81.3,0.99,0,0.05,2014.51223,0,0.1
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1.08,Germany,Europe,80982500,0.11,81.09,0.99,0,0.03,1318.842173,0,1.76
2014,Czechia,CZE,Europe,1,78.82,0.1,10.4,1.08,Germany,Europe,80982500,0.11,81.09,1,0,1.47,1318.842173,0,8.3
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1,Ireland,Europe,4657740,0.13,81.35,0.98,0,0.41,2474.021957,0,0.48
2014,Czechia,CZE,Europe,1,78.82,0.1,10.4,1,Ireland,Europe,4657740,0.13,81.35,0.99,0,20.91,2474.021957,0,0.95
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1.03,Netherlands,Europe,16865008,0.12,81.71,0.98,0,0.13,1744.506693,0,0.07
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,0.97,Norway,Europe,5137232,0.17,82.1,0.97,0,0.03,2096.33555,0,0.15
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1.02,New Zealand,Oceania,4516500,0.16,81.4,0.99,0,0.35,17661.60686,0,0.1
2014,Czechia,CZE,Europe,1,78.82,0.1,10.4,1.02,New Zealand,Oceania,4516500,0.16,81.4,1,0,17.83,17661.60686,0,0.45
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1.09,South Africa,Africa,54544184,0.19,61.97,0.99,0.19,0.02,7626.797457,0,0.14
2014,Czechia,CZE,Europe,1,78.82,0.1,10.4,1.09,South Africa,Africa,54544184,0.19,61.97,1,0.19,1.01,7626.797457,0,0.05
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1,Sweden,Europe,9696110,0.15,82.25,0.97,0.01,0.02,1884.29048,0,0.39
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,1.1,Switzerland,Europe,8188649,0.15,83.2,0.98,0,0.13,1335.53863,0,0.15
2014,Czechia,CZE,Europe,1,78.82,0.1,10.4,1.1,Switzerland,Europe,8188649,0.15,83.2,0.99,0,6.6,1335.53863,0,0.08
2014,Bulgaria,BGR,Europe,1,74.47,0.15,9.4,0.98,United States of America,Americas,318386329,0,78.84,0.98,0.01,0,7912.007093,0,10.71
2014,Czechia,CZE,Europe,1,78.82,0.1,10.4,0.98,United States of America,Americas,318386329,0,78.84,0.99,0.01,0.25,7912.007093,0,0.34
2015,Czechia,CZE,Europe,1,78.58,0.11,10.5,0.99,Australia,Oceania,23815995,0.14,82.4,0.99,0,2.58,15341.19566,0,0.05
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,1,Belgium,Europe,11274196,0.12,80.99,0.99,0,0.22,1697.88075,0,0.35
2015,Czechia,CZE,Europe,1,78.58,0.11,10.5,1,Belgium,Europe,11274196,0.12,80.99,1,0,11.1,1697.88075,0,0.06
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,1.03,Brazil,Americas,204471759,0.16,74.99,0.99,0.03,0.02,9734.046277,0,0.07
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,0.99,Canada,Americas,35702908,0,81.9,0.98,0,0.05,7370.872821,0,6.09
2015,Czechia,CZE,Europe,1,78.58,0.11,10.5,0.99,Canada,Americas,35702908,0,81.9,0.99,0,2.32,7370.872821,0,3.24
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,0.95,Czechia,Europe,10546059,0.14,78.58,0.99,0,0.02,1065.247966,0,0.22
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,0.97,Finland,Europe,5479531,0.12,81.48,0.99,0,0.42,1946.016699,0,0.07
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,1.04,France,Europe,66548272,0,82.32,1,0,0.04,1757.706739,0,1.02
2015,Czechia,CZE,Europe,1,78.58,0.11,10.5,1.04,France,Europe,66548272,0,82.32,1.01,0,2.1,1757.706739,0,0.27
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,1.03,United Kingdom of Great Britain and Northern Ireland,Europe,65116219,0.13,80.96,0.99,0,0.05,2014.51223,0,0.07
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,0.98,Germany,Europe,81686611,0.11,80.64,0.99,0,0.03,1318.842173,0,1.49
2015,Czechia,CZE,Europe,1,78.58,0.11,10.5,0.98,Germany,Europe,81686611,0.11,80.64,1,0,1.53,1318.842173,0,7.98
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,1.04,Ireland,Europe,4701957,0.13,81.45,0.98,0,0.34,2474.021957,0,0.49
2015,Czechia,CZE,Europe,1,78.58,0.11,10.5,1.04,Ireland,Europe,4701957,0.13,81.45,0.99,0,17.6,2474.021957,0,0.95
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,1.02,Norway,Europe,5188607,0.16,82.3,0.97,0,0.03,2096.33555,0,0.15
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,0.96,New Zealand,Oceania,4609400,0.16,81.46,0.99,0,0.35,17661.60686,0,0.15
2015,Czechia,CZE,Europe,1,78.58,0.11,10.5,0.96,New Zealand,Oceania,4609400,0.16,81.46,1,0,18.11,17661.60686,0,0.22
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,1,South Africa,Africa,55386369,0.19,62.65,0.99,0,0.02,7626.797457,0,0.14
2015,Czechia,CZE,Europe,1,78.58,0.11,10.5,1,South Africa,Africa,55386369,0.19,62.65,1,0,1.05,7626.797457,0,0.05
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,1.04,Sweden,Europe,9799186,0.15,82.2,0.97,0,0.02,1884.29048,0,0.38
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,0.97,Switzerland,Europe,8282396,0.15,82.9,0.98,0,0.13,1335.53863,0,0.15
2015,Czechia,CZE,Europe,1,78.58,0.11,10.5,0.97,Switzerland,Europe,8282396,0.15,82.9,0.99,0,6.84,1335.53863,0,0.06
2015,Bulgaria,BGR,Europe,1,74.61,0.15,9.2,0.96,United States of America,Americas,320738994,0.14,78.69,0.98,0.01,0,7912.007093,0,9.65
2015,Czechia,CZE,Europe,1,78.58,0.11,10.5,0.96,United States of America,Americas,320738994,0.14,78.69,0.99,0.01,0.25,7912.007093,0,0.39
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,1.02,Australia,Oceania,24190907,0.14,82.45,0.98,0.01,0.05,15341.19566,0,0.07
2016,Czechia,CZE,Europe,1,79.03,0.1,10.7,1.02,Australia,Oceania,24190907,0.14,82.45,0.99,0.01,2.57,15341.19566,0,0.05
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,0.91,Belgium,Europe,11331422,0.12,81.44,0.99,0,0.22,1697.88075,0,0.27
2016,Czechia,CZE,Europe,1,79.03,0.1,10.7,0.91,Belgium,Europe,11331422,0.12,81.44,1,0,11.24,1697.88075,0,0.06
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,0.99,Brazil,Americas,206163056,0.16,75.23,0.99,0.04,0.02,9734.046277,0,0.07
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,1.08,Canada,Americas,36109487,0,81.9,0.98,0,0.05,7370.872821,0,2.22
2016,Czechia,CZE,Europe,1,79.03,0.1,10.7,1.08,Canada,Americas,36109487,0,81.9,0.99,0,2.36,7370.872821,0,5.44
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,1.01,Czechia,Europe,10566332,0.14,79.03,0.99,0,0.02,1065.247966,0,0.22
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,0.96,Finland,Europe,5495303,0.12,81.43,0.99,0,0.42,1946.016699,0,0.07
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,0.91,France,Europe,66724104,0,82.57,1,0,0.04,1757.706739,0,1.02
2016,Czechia,CZE,Europe,1,79.03,0.1,10.7,0.91,France,Europe,66724104,0,82.57,1.01,0,2.13,1757.706739,0,0.26
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,0.95,Germany,Europe,82348669,0.11,80.99,0.99,0,0.03,1318.842173,0,1.43
2016,Czechia,CZE,Europe,1,79.03,0.1,10.7,0.95,Germany,Europe,82348669,0.11,80.99,1,0,1.53,1318.842173,0,7.78
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,1.01,Norway,Europe,5234519,0.16,82.41,0.96,0,0.03,2096.33555,0,0.18
2016,Czechia,CZE,Europe,1,79.03,0.1,10.7,1.02,New Zealand,Oceania,4714100,0.17,81.61,1,0,17.9,17661.60686,0,0.21
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,0.91,South Africa,Africa,56207649,0.18,63.15,0.99,0,0.02,7626.797457,0,0.07
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,1.06,Spain,Europe,46484062,0.1,83.33,0.99,0.01,0.08,2253.318067,0,0.07
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,0.96,Sweden,Europe,9923085,0.16,82.31,0.97,0,0.02,1884.29048,0,0.34
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,0.93,Switzerland,Europe,8373338,0.15,83.6,0.98,0,0.13,1335.53863,0,0.14
2016,Czechia,CZE,Europe,1,79.03,0.1,10.7,0.93,Switzerland,Europe,8373338,0.15,83.6,0.99,0,6.88,1335.53863,0,0.07
2016,Bulgaria,BGR,Europe,1,74.81,0.15,9.1,1.07,United States of America,Americas,323071755,0.13,78.54,0.98,0.01,0,7912.007093,0,8.66
2016,Czechia,CZE,Europe,1,79.03,0.1,10.7,1.07,United States of America,Americas,323071755,0.13,78.54,0.99,0.01,0.26,7912.007093,0,0.32
2017,Bulgaria,BGR,Europe,1,74.81,0.16,9,1.21,Australia,Oceania,24601860,0.14,82.5,0.98,0,0.05,15341.19566,0,0.08
2017,Bulgaria,BGR,Europe,1,74.81,0.16,9,1.02,Belgium,Europe,11375158,0.12,81.49,0.99,0,0.22,1697.88075,0,0.41
2017,Czechia,CZE,Europe,1,78.98,0.11,10.8,1.02,Belgium,Europe,11375158,0.12,81.49,1,0,11.63,1697.88075,0,0.1
2017,Bulgaria,BGR,Europe,1,74.81,0.16,9,1.1,Brazil,Americas,207833825,0.17,75.46,0.99,0.05,0.02,9734.046277,0,0.07
2017,Czechia,CZE,Europe,1,78.98,0.11,10.8,1.1,Brazil,Americas,207833825,0.17,75.46,1,0.05,1.24,9734.046277,0,0.05
2017,Bulgaria,BGR,Europe,1,74.81,0.16,9,1.08,Canada,Americas,36545236,0,81.9,0.98,0,0.05,7370.872821,0,2.29
2017,Czechia,CZE,Europe,1,78.98,0.11,10.8,1.08,Canada,Americas,36545236,0,81.9,0.99,0,2.41,7370.872821,0,6.56
2017,Bulgaria,BGR,Europe,1,74.81,0.16,9,0.9,Czechia,Europe,10594438,0.1,78.98,0.99,0,0.02,1065.247966,0,0.23
2017,Bulgaria,BGR,Europe,1,74.81,0.16,9,0.94,Finland,Europe,5508214,0.12,81.63,0.99,0,0.42,1946.016699,0,0.07
2017,Bulgaria,BGR,Europe,1,74.81,0.16,9,1.04,France,Europe,66918020,0.1,82.58,1,0,0.04,1757.706739,0,1
2017,Czechia,CZE,Europe,1,78.98,0.11,10.8,1.04,France,Europe,66918020,0.1,82.58,1.02,0,2.19,1757.706739,0,0.25
